01/02/2022			167.94.138.61
01/02/2022			167.99.133.28
02/02/2022			45.146.165.37
02/02/2022			45.33.65.249
03/02/2022			170.187.155.78
07/02/2022			178.79.148.229
08/02/2022			47.242.77.72
08/02/2022			172.104.140.107
09/02/2022			45.146.165.37
10/02/2022			54.204.176.192
10/02/2022			47.243.233.244
10/02/2022			121.46.25.189
12/02/2022			45.133.193.59
12/02/2022			47.243.177.64
14/02/2022			5.39.220.54
14/02/2022			121.46.25.189
14/02/2022			172.104.140.107
14/02/2022			178.79.148.229
14/02/2022			45.133.193.59
14/02/2022			45.146.165.37
14/02/2022			47.242.77.72
14/02/2022			47.243.177.64
14/02/2022			47.243.233.244
14/02/2022			5.39.220.54
14/02/2022			54.204.176.192
15/02/2022			47.243.107.113
16/02/2022			98.0.242.10
16/02/2022			50.31.21.8
17/02/2022			45.146.165.37
19/02/2022			167.114.156.15
19/02/2022			167.99.133.28
