01/12/2022			179.43.177.154
01/12/2022			193.118.53.210
01/12/2022			167.94.138.62
02/12/2022			146.0.77.38
02/12/2022			152.89.196.211
02/12/2022			172.105.246.139
02/12/2022			35.176.58.253
02/12/2022			72.251.235.152
03/12/2022			183.136.225.32
03/12/2022			172.104.249.218
05/12/2022			15.235.12.96
06/12/2022			179.43.154.151
07/12/2022			35.216.244.6
07/12/2022			45.56.108.128
07/12/2022			35.175.223.231
08/12/2022			139.144.69.48
09/12/2022			3.66.169.24
09/12/2022			35.216.188.92
11/12/2022			13.40.56.64
11/12/2022			183.136.225.32
12/12/2022			172.105.246.139
13/12/2022			152.89.196.211
19/12/2022			5.182.210.92
19/12/2022			216.218.206.68
20/12/2022			50.31.21.5
20/12/2022			152.89.196.211
21/12/2022			3.9.135.119
23/12/2022			172.105.246.139
23/12/2022			74.82.47.2
24/12/2022			183.136.225.32
25/12/2022			179.43.177.154
25/12/2022			81.17.22.106
25/12/2022			92.154.95.236
25/12/2022			90.46.141.5
26/12/2022			37.167.186.126
26/12/2022			35.216.130.245
27/12/2022			184.105.139.68
28/12/2022			152.89.196.211
29/12/2022			167.94.146.60
